"Topic","Context","Note","","","","","","","","","","","","","","","","","","","","","","",""
"Học Phí","Mỗi ngành khác nhau doa động từ 315tr-335tr tùy ngành cho lộ trình đào tạo tiếng Việt, học phí này học phí gốc, chưa trừ ưu đãi, học bổng nè. năm nay có nhiều loại
học bổng giảm từ 10%, 26%, 32%, 34%, 43%, 58%, 100% học phí toàn khóa, tùy vào điểm học bạ của thí sinh, đạt loại nào thì trừ vào học phí theo tỷ, 
trung bình 1 học kỳ từ 16tr-20tr/ học kỳ nè. học phí toàn khóa cố định không tăng, học phí đã bao gồm học phí các cấp độ tiếng Anh, tài liệu học tập, 
học kỳ doanh nghiệp (chưa bao gồm sinh hoạt phí)","","","","","","","","","","","","","","","","","","","","","","","",""
"Trải Nghiệm Sinh Viên","Nhà trường luôn tạo điều kiện tôi đa cho các bạn sinh viên trẻ và đồng thời các giảng viên được tham dự các hoạt động, sự kiện, 
workshop với quy mô lớn và chất lượng. Đảm bảo cho trải nghiệm học tập và làm việc luôn trong trạng thái tràn đầy năng lượng và hạnh phúc","https://www.facebook.com/UMT.trainghiemsinhvien","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tin Tức và Sự Kiện","Các tin tức và sự kiện của TRƯỜNG ĐẠI HỌC QUẢN LÝ VÀ CÔNG NGHỆ TP.HCM luôn được cập nhật trên các nên tảng số, báo chí...","https://www.facebook.com/UMTUniversity","","","","","","","","","","","","","","","","","","","","","","",""
"Đối Tác","Trường Đại học UMT cũng đẩy mạnh mở rộng quan hệ hợp tác quốc tế với các trường đại học ngay trong chương trình đào tạo, thực tập, kiến tập như: 
Trường Đại học Curtin (Malaysia), Trường Đại học Aletheia, Trường Đại học Bangkok Thonburi (BTU), Tập đoàn công nghệ máy tính IBM Vietnam...","","","","","","","","","","","","","","","","","","","","","","","",""
"Tuyển Dụng","TRƯỜNG ĐẠI HỌC QUẢN LÝ VÀ CÔNG NGHỆ TP.HCM được thành lập với tâm huyết dành trọn cho sự nghiệp phát triển giáo dục, đóng góp công sức đưa nền giáo dục Việt Nam vươn xa trên con đường hội nhập quốc tế. Đối với chúng tôi, sự nghiệp đầu tư và 
phát triển giáo dục chính là sứ mạng to lớn trong việc chia sẻ trách nhiệm với cộng đồng, xã hội thông qua việc đầu tư vào con người, nguồn nhân lực tương lai của đất nước.

TRƯỜNG ĐẠI HỌC QUẢN LÝ VÀ CÔNG NGHỆ TP.HCM tự hào mang đến hệ thống giáo dục đại học uy tín, chất lượng và tận tâm. Là nhà đầu tư và phát triển có trách nhiệm, chúng tôi luôn chăm chút cho từng sản phẩm giáo dục, chú trọng mở rộng hệ thống 
chất lượng cao và áp dụng các phương pháp giáo dục theo tiêu chuẩn toàn cầu.","https://careerviet.vn/vi/nha-tuyen-dung/dai-hoc-quan-ly-va-cong-nghe-thanh-pho-ho-chi-minh.35A8DD2A.html","","","","","","","","","","","","","","","","","","","","","","",""
"Phương tiện di chuyển","Trường Đại học Quản lý và Công nghệ Thành phố Hồ Chí Minh thấu hiểu nhu cầu của sinh viên trong việc di chuyển đến trường trong những ngày mưa nắng, với hệ thống xe bus chuyên dụng nhà trường đã cung cấp, các chuyến xe này sẽ di chuyển từ các vị trí trên 
các điểm trên Thành Phố Hồ Chí Minh, tiếp đón tại các kí túc xá và điểm đến cuối cùng là ngôi trường của hạnh phúc và thành công","https://www.tiktok.com/@umtuniversity/video/7393161384747453713","","","","","","","","","","","","","","","","","","","","","","",""
"Căng Tin","Với hệ thống quy mô hợp tác với các chuỗi siêu thị lớn, căng tin tại trường luôn cung cấp các loại thực phẩm sạch và đảm bảo chất lượng trong từng bũa ăn cho giảng viên và sinh viên. Tại trường đều đặt các siêu thị tiện lợi nhỏ cho việc mua sắm đơn giản theo 
nhu cầu cá nhân của mỗi người","","","","","","","","","","","","","","","","","","","","","","","",""
"Ký túc xá","Trường Đại học Quản lý và Công nghệ Thành phố Hồ Chí Minh nằm trong khu đô thị Cát Lái với quy các chung cư và căn hộ được xây mới khang trang và rộng rãi, Nhà Trường đã hợp tác với các chủ đầu tư để tạo điều kiện cho sinh viên có thể thuê các căn hộ
 gần trường để có thể thuận tiện lại cho việc đi lại với chi phí thuê rất thấp so với giá thị trường, đảm bảo an ninh, trật tự và học tập cho sinh viên","lhttps://www.tiktok.com/@umtuniversity/video/7130926795724967170","","","","","","","","","","","","","","","","","","","","","","",""
"Học Bổng","Trường Đại học Quản lý và Công nghệ Thành phố Hồ Chí Minh cũng có nhiều chính sách hỗ trợ tài chính cho tân sinh viên bằng 
cách trao tặng các xuất học bổng dựa trên năng lực của cá nhân bao gồm các học bổng tài năng với 115 suất, tổng giá trị 22 tỷ đồng. 
Trong đó có 15 suất học bổng Global trị giá 365 triệu đồng/ suất, 25 suất học bổng trị giá 200 triệu/ suất, 35 suất học bổng Makers 
trị giá 170 triệu/ suất và 40 suất thinkers trị giá 140 triệu/ suất, ngoài ra còn các xuất học bổng doanh nghiệp với trị giá từ 90 triệu đồng","https://www.tiktok.com/@umtuniversity/video/7130926795724967170

https://www.tiktok.com/@umtuniversity/video/7351611661712641282","","","","","","","","","","","","","","","","","","","","","","",""
"Hỗ trợ vay tiền đi học","“HỌC PHÍ 0 TIỀN MẶT”

1. Tiết kiệm được bao nhiêu tiền?
Khi tham gia chương trình “Học phí 0 tiền mặt”, đồng nghĩa với việc phụ huynh và sinh viên đủ khả năng thanh toán học phí năm nhất và tiết kiệm được từ 14.000.000 đồng đến 29.900.000 đồng.
UMT hỗ trợ lãi suất 0% và chịu tất cả chi phí chuyển đổi phát sinh, giúp bạn tiết kiệm tiền lãi ngân hàng so với vay vốn học tập hoặc trả góp thông thường.

2. 100% sinh viên nhận ngay laptop Macbook, Dell xịn sò
Năm 2022, sinh viên UMT thanh toán toàn bộ học phí năm nhất sẽ được tặng ngay laptop Macbook hoặc Dell “sang-xịn”, nếu không nhận laptop sẽ được giảm ngay 20% học phí thực trả năm nhất.
Do đó, trường hợp bạn không đủ điều kiện thanh toán học phí năm nhất thì “Học phí 0 tiền mặt” sẽ là đáp án tuyệt vời nhất cho bài toán này.

3. Không chi trả lãi suất
UMT hỗ trợ lãi suất 0% và chịu tất cả chi phí chuyển đổi phát sinh, giúp sinh viên và gia đình giảm áp lực kinh tế khi mỗi tháng chỉ phải thanh toán từ 6,5 triệu đồng học phí.

*UMT vẫn luôn mở cổng đăng ký xét tuyển trực tuyến và đợi bạn nhập học với “Học phí 0 tiền mặt” nhé! Nhanh tay đăng ký xét tuyển tại đây thui: https://xettuyen.umt.edu.vn/dangkyxettuyen","","","","","","","","","","","","","","","","","","","","","","","",""
"Y tế","Đội ngũ Bác sĩ, Y tá hỗ trợ tận tâm 24/7 với cơ sở vật chất hiện đại, đảm bảo chất lượng khám và chữa bệnh theo các điều khoản của Nhà Nước","","","","","","","","","","","","","","","","","","","","","","","",""
"MÃ NGÀNH, MÃ TỔ HỢP XÉT TUYỂN NĂM 2024
Mã trường: UMT","","Ngành: Công nghệ Thông tin","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Công nghệ Thông tin: 7480201","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Công nghệ Thông tin: A00, A01, D01/D03, D07","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ngành: Truyền thông Đa phương tiện","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Truyền thông Đa phương tiện: 7320104","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Truyền thông Đa phương tiện: A00, A01, C00, D01/D03","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ngành: Thiết kế Đồ họa","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Thiết kế Đồ họa: 7210403","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Thiết kế Đồ họa: A00, A01, D01/D03, H06","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ngành: Marketing","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Marketing: 7340115","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Marketing: A00, A01, C00, D01/D03","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ngành: Quản trị Kinh doanh","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Quản trị Kinh doanh: 7340101","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Quản trị Kinh doanh: A00, A01, C00, D01/D03","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ngành: Logistics và Quản lý chuỗi cung ứng","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Logistics và Quản lý chuỗi cung ứng: 7510605","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Logistics và Quản lý chuỗi cung ứng: A00, A01, D07, D01/D03","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ngành: Kinh doanh Quốc tế","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Kinh doanh Quốc tế: 7340120","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Kinh doanh Quốc tế: A00, A01, C00, D01/D03","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ngành: Quản lý Thể dục Thể thao","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Ngành Quản lý Thể dục Thể thao: 7810301","","","","","","","","","","","","","","","","","","","","","","",""
"","","Mã Tổ hợp Xét tuyển Quản lý Thể dục Thể thao: A01, B04, B08, D01/D03","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
